DDDDphhp3: (-84.95925974520767+0j)
DDDDphp1: (10.961242615174124+0j)
DDDDphhp4: (1.9936355090801585+0j)
DDDDphhp5: (10.907454020733587+0j)
DDpDDph1: (2.619014663878308+0j)
DDpDDph2: (-36.77926279480834+0j)
DDpDDph3: (19.58989927158462+0j)
DpDDDph1: (-4.474938748015811+0j)
DpDDDph2: (1.7940495661490106+0j)
DpDph1: (7.5307558993459685+0j)
DpDph2: (-1.1550034148067658+0j)
DpDphh1: (-14.224021762663696+0j)
DpDphh2: (-11.153238899150153+0j)
DpDphh3: (-17.036129282488144+0j)
DpDphh4: (133.02375642585497+0j)
DDDDphhp1: (12.7985974672024+0j)
pph: (13.740223883946756+0j)
DDDDphhp2: (-7.877789622227883+0j)
pphh1: (-38.48260365503558+0j)
pphh2: (-24.81217620000272+0j)
DhDDDphp1: (58.01288871737663+0j)
DhDDDphp4: (15.45617358368882+0j)
DhDhDDpp13: (134.71991144126648+0j)
DhDhDDpp2: (205.01320544889558+0j)
DhDhDpDp4: (-132.71991144126648+0j)
DhDpDDph4: (-106.63540893523434+0j)
DhDpDDph7: (83.68938250164821+0j)
DhDpDDph8: (59.03532605629934+0j)
DhDpDDph9: (-154.18088214163657+0j)
DhDDDphp2: (-34.54159269267156+0j)
DhDhDDpp11: (69.27050854724075+0j)
DhDpDDph1: (-19.198468438040127+0j)
DhDhDDpp5: (-129.59135703342582+0j)
DhDDDphp7: (-18.963912775696887+0j)
DhDDDpp1: (1.7797962997276953+0j)
DhDhDDpp10: (20.476137224047406+0j)
DhDhDpDp2: (-18.476137224047406+0j)
DhDpDDp2: (-8.111607905686373+0j)
DhDpDDph13: (-1.5490840281972618+0j)
DhDpDDph17: (17.320535590915803+0j)
DhDphp6: (70.48863163107298+0j)
DhDDDphp8: (3.728063845487966+0j)
DhDhDDpp14: (-18.325338776794336+0j)
DhDhDpDp5: (20.325338776794336+0j)
DhDpDDph14: (-1.2018611736770468+0j)
DhDpDDph5: (58.4050966976654+0j)
DhDphp4: (56.800140402669015+0j)
DhDDDphp6: (-21.08442502542832+0j)
DhDhDDpp8: (-18.687758345175588+0j)
DhDhDpDp1: (20.687758345175588+0j)
DhDDDphp3: (-0.10135298070613771+0j)
DhDhDDpp1: (-15.335227238727644+0j)
DhDpDDph3: (9.802441847824342+0j)
DppDh1: (11.09551295408012+0j)
DhDhDDpp4: (-49.89614015525112+0j)
DhDpDDph2: (26.311260108929233+0j)
DhDhDDpp9: (1.5262026718109614+0j)
DhDpDDp1: (5.1659058029834+0j)
DhDpDDph15: (0.7368986640945193+0j)
DhDpDDph6: (-2.850544433559083+0j)
DhDphp1: (-3.7336739415091906+0j)
DppDh2: (-6.328802337615889+0j)
DhDhDDpp3: (36.15345521228002+0j)
DhDDDphp5: (4.741750120809265+0j)
DhDhDDpp12: (-21.512996803894087+0j)
DhDhDpDp3: (23.512996803894087+0j)
DhDpDDph10: (2.4173468652639944+0j)
DhDpDDph12: (12.256498401947043+0j)
DhDphp5: (12.850446660859367+0j)
DhDhDDpp7: (-23.339704114485045+0j)
DhDpDDph16: (-4.524041744983646+0j)
DhDphp3: (-17.481195006769678+0j)
DhDhDDpp6: (6.159096986073415+0j)
DhDpDDph11: (-1.5795484930367072+0j)
DhDphp2: (-0.4336703782114495+0j)
